id,first_name,last_name,position,equipo
135,PJ,Dozier,G-F,Minnesota Timberwolves
136,Goran,Dragic,G,Milwaukee Bucks
137,Andre,Drummond,C,New York Knicks
138,Jared,Dudley,F,Phoenix Suns
139,Kris,Dunn,G,LA Clippers
140,Kevin,Durant,F,Houston Rockets
141,Trevon,Duval,G,Milwaukee Bucks
142,Vincent,Edwards,F,Houston Rockets
143,Henry,Ellenson,F,Detroit Pistons
144,Wayne,Ellington,G,Los Angeles Lakers
145,Joel,Embiid,F-C,Philadelphia 76ers
146,James,Ennis III,F,Denver Nuggets
147,Drew,Eubanks,F,Sacramento Kings
148,Jacob,Evans,G,Golden State Warriors
149,Keenan,Evans,G,Detroit Pistons
150,Tyreke,Evans,G,Sacramento Kings
151,Dante,Exum,G,Dallas Mavericks
152,Kenneth,Faried,F-C,Denver Nuggets
153,Derrick,Favors,F-C,Houston Rockets
154,Cristiano,Felicio,F-C,Chicago Bulls
155,Raymond,Felton,G,Charlotte Hornets
156,Terrance,Ferguson,G,Oklahoma City Thunder
157,Yogi,Ferrell,G,Sacramento Kings
158,Dorian,Finney-Smith,F,Charlotte Hornets
159,Bryn,Forbes,G,Minnesota Timberwolves
160,Evan,Fournier,G-F,Detroit Pistons
161,De'Aaron,Fox,G,San Antonio Spurs
162,Melvin,Frazier Jr.,G-F,Oklahoma City Thunder
163,Tim,Frazier,G,Cleveland Cavaliers
164,Channing,Frye,F-C,Phoenix Suns
165,Markelle,Fultz,G,Toronto Raptors
166,Wenyen,Gabriel,F,Boston Celtics
167,Danilo,Gallinari,F,Milwaukee Bucks
168,Langston,Galloway,G,Indiana Pacers
169,Marc,Gasol,C,Memphis Grizzlies
170,Pau,Gasol,C-F,Los Angeles Lakers
171,Rudy,Gay,F,Golden State Warriors
172,Paul,George,F,Boston Celtics
173,Taj,Gibson,F,Memphis Grizzlies
174,Harry,Giles III,F-C,Sacramento Kings
175,Shai,Gilgeous-Alexander,G,Oklahoma City Thunder
176,Rudy,Gobert,C,Minnesota Timberwolves
177,Aaron,Gordon,F,Denver Nuggets
178,Eric,Gordon,G,Philadelphia 76ers
179,Marcin,Gortat,C,Washington Wizards
180,Devonte',Graham,G,Portland Trail Blazers
181,Treveon,Graham,F,Charlotte Hornets
182,Jerami,Grant,F,Memphis Grizzlies
183,Jerian,Grant,G,Chicago Bulls
184,Danny,Green,G-F,Philadelphia 76ers
185,Draymond,Green,F,Golden State Warriors
186,Gerald,Green,G-F,Boston Celtics
187,JaMychal,Green,F,Golden State Warriors
188,Jeff,Green,F,Houston Rockets
189,Blake,Griffin,F,Boston Celtics
190,Daniel,Hamilton,G-F,Atlanta Hawks
191,Tim,Hardaway Jr.,G,Miami Heat
192,James,Harden,G,Cleveland Cavaliers
193,Maurice,Harkless,F,Sacramento Kings
194,Montrezl,Harrell,F-C,Philadelphia 76ers
195,Devin,Harris,G,Dallas Mavericks
196,Gary,Harris,G,Detroit Pistons
197,Joe,Harris,F-G,Detroit Pistons
198,Andrew,Harrison,G,Memphis Grizzlies
199,Shaquille,Harrison,G,Memphis Grizzlies
200,Tobias,Harris,F,San Antonio Spurs
201,Isaiah,Hartenstein,F-C,Oklahoma City Thunder
202,Josh,Hart,G,New York Knicks
203,Udonis,Haslem,F,Miami Heat
204,Gordon,Hayward,F,Oklahoma City Thunder
205,John,Henson,F,Milwaukee Bucks
206,Juancho,Hernangomez,F,Toronto Raptors
207,Willy,Hernangomez,C,New Orleans Pelicans
208,Mario,Hezonja,F,Cleveland Cavaliers
209,Isaiah,Hicks,F,New York Knicks
210,Buddy,Hield,G,Atlanta Hawks
211,George,Hill,G,Indiana Pacers
212,Solomon,Hill,F,Atlanta Hawks
213,Aaron,Holiday,G,Houston Rockets
214,Jrue,Holiday,G,Portland Trail Blazers
215,Justin,Holiday,F-G,Denver Nuggets
216,Rondae,Hollis-Jefferson,F,Brooklyn Nets
217,Richaun,Holmes,F-C,Washington Wizards
218,Rodney,Hood,G,LA Clippers
219,Al,Horford,C-F,Golden State Warriors
220,Dwight,Howard,C,Los Angeles Lakers
221,Kevin,Huerter,G,Detroit Pistons
222,Chandler,Hutchison,F,Phoenix Suns
223,Serge,Ibaka,F-C,Milwaukee Bucks
224,Andre,Iguodala,G-F,Golden State Warriors
225,Ersan,Ilyasova,F,Milwaukee Bucks
226,Joe,Ingles,F,Minnesota Timberwolves
227,Brandon,Ingram,F,Toronto Raptors
228,Kyrie,Irving,G,Dallas Mavericks
229,Jonathan,Isaac,F,Orlando Magic
